	Scil_0	Scil_1	Scil_10	Scil_11	Scil_12	Scil_13	Scil_14	Scil_15	Scil_16	Scil_17	Scil_18	Scil_19	Scil_2	Scil_20	Scil_21	Scil_22	Scil_23	Scil_24	Scil_25	Scil_26	Scil_27	Scil_28	Scil_29	Scil_3	Scil_30	Scil_31	Scil_32	Scil_33	Scil_34	Scil_35	Scil_36	Scil_37	Scil_38	Scil_4	Scil_5	Scil_6	Scil_7	Scil_8	Scil_9	Slac_0	Slac_1	Slac_10	Slac_11	Slac_12	Slac_13	Slac_14	Slac_15	Slac_16	Slac_17	Slac_18	Slac_19	Slac_2	Slac_20	Slac_21	Slac_22	Slac_23	Slac_24	Slac_25	Slac_26	Slac_27	Slac_28	Slac_3	Slac_4	Slac_5	Slac_6	Slac_7	Slac_8	Slac_9
Scil_27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1016231332031067	0.0	0.1933173381372079	0.0	0.006184226664628138	0.0005265361652284975	0.005223934483271751	0.08406586551915964	0.0007811789066235182	0.0	0.0012245743441059527	0.0	0.0	0.0	0.0033113855928705175	0.00544617532142899	0.007701744154940178	0.015592959226938213	0.0	0.06902792386011422	0.0	0.0014138792158906708	0.002777288189854634	0.062268783907871994	0.0	0.0	0.0
Scil_28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6904023794413039	0.005086823287527249	0.18638622780599468	0.0	0.00040423371940435156	0.0	0.0	0.0	0.0032685277598511592	0.03647588588600141	0.6239974809775188	0.0	0.0	0.16365118585782418	0.11987033406442235	0.002950720821067357	0.29830490010212635	0.0	0.017999838408547734	0.0008788108282444448	0.0	0.0	0.02140811228657411	0.0	0.0	0.0	0.7822051922907218	0.002592556182577031	0.01662475322472134
Scil_29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00035806364443531234	0.0	0.045246573014954786	0.0	0.41983813277782867	0.0	0.00011760908594790043	0.00041165235928523474	0.001469499824988202	0.02580812167533523	0.017389118907431035	0.0	0.004707114409347568	0.1193115378452843	0.000329350925406405	0.00011192722929140814	0.007115825079556337	0.00182693127404558	0.003575384857190366	0.010045652644112873	0.0	0.008829731273668064	0.2474062555315971	0.0018883484366692082	0.00010878080854862679	0.0017012743774749537	0.002115511558051745	0.05068034946760156	0.0
Scil_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.020922063888546845	0.004512804970113625	0.400474769561917	0.00018417487132331146	0.30214289235998976	0.0	0.001604488190982917	0.0014669800254573629	0.03376032861888892	0.2643125172115094	0.016941628900716738	0.0	0.01502718551192524	0.3103054251555101	0.0014994117548317505	0.14560756295216404	0.01895517498567463	0.0047969731774151775	0.07928358375527914	0.02720706576731758	0.0	0.05513187425335638	0.06462308982814799	0.00038176872992997475	0.002770814710033162	0.019627637897985585	0.006720845938546593	0.001717469888352295	0.0
Scil_30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07973225109734534	0.028061604399655667	0.02481985635721679	0.0007596366712715048	0.03738325767416098	0.022309533526480366	0.0001771575560367171	0.0001525043345174488	0.004853997829413171	0.002661796040730629	0.0036038105335061852	0.00020687914557464878	0.0037160207208341545	0.18045444687910867	0.002649554078617492	0.0011275813197167554	0.0032122127426869916	0.0003483375169255369	0.001211330085836684	0.00028916915050868595	0.027935535504279286	0.0	0.25417704750747544	0.002500001096472209	0.001463580655722525	0.005606173609440278	0.008257129136094709	0.11695125423428025	0.0006302065283135134
Scil_31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10211559660538141	0.005484936453414144	0.019996613094399047	0.0	0.00014026991581303814	0.0008128628983794227	0.0	0.0	0.002763259698962974	0.06192660973805636	0.7327623613092873	0.0	0.0	0.012533715612665985	0.0018419930547002173	0.0	0.06866179206953206	0.001449720571809083	0.006325575944151343	0.00016667878471085288	0.0	0.0	0.16479745567840048	0.0	0.0	0.0	0.23984658375683	0.0	0.0022537127868356484
Scil_32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1763642361438324	0.050315241028735525	0.008699540295752772	0.0	0.0	0.0012433684740679849	0.0	0.0	0.0009446689080177144	0.5510876688511985	0.018312892361365563	0.0012938469479791153	0.0	0.0017523768985218346	0.011870296161575741	0.004331199198082733	0.006737467177314237	0.0	0.0014419495456984336	0.0006151991010040932	0.0	0.0	0.006571321822098519	0.0	0.0	0.0	0.8392320196390474	0.003675038003892392	0.10642189597775979
Scil_33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008070427594081829	0.01146177591080465	0.0034718278457595364	0.1136987289945873	0.0	0.14725885506151265	0.1460835508720437	0.0	0.10668975065805231	0.0	0.0	0.022084686008022984	0.0	0.0	0.0019580287037492695	0.00261959219978815	0.10963095160238916	0.0004117826992111135	0.002826035128635942	0.0	0.0018654747474911148	0.0049784217371819555	0.34937332325053083	0.6397240726236046	0.23376804188356445	0.0	0.0034962068047896208	0.0
Scil_34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044326623535407714	0.0	0.0007135242136813644	0.007846481715704751	0.018843250199835786	0.0009774968325651026	0.0009254884029879145	8.832977814853351e-05	0.0001783717211237805	0.003241299505212359	0.0003140664212464159	0.00016229801003639368	0.0008261173423381899	0.0	0.002432537667856025	0.0009384819370240391	0.0	0.0	0.00018643368130089716	0.0003232561546069872	0.0	0.36161289467037616	0.008115175035227514	0.0010136394980780595	0.0	0.00382159903677434	0.27793048498158723	0.0819147597680537
Scil_35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007248908368946424	0.8284104041892132	0.0	0.0005966028003738917	0.0	0.19656215155324222	0.0032634886032983923	0.017965529329546866	0.0	0.0004792446448746531	0.0	0.4825037632115238	0.0	0.0	0.0	0.005729431978583411	4.93179132227808e-05	0.0	0.0	0.0	0.0	0.0	0.0013366012719495818	0.07470885927622038	0.13903218058551892	0.00010478640567302918	0.001862376595087484	0.01064111886163115	0.6089445649982927
