	Aque_0	Aque_1	Aque_10	Aque_11	Aque_12	Aque_13	Aque_14	Aque_15	Aque_16	Aque_17	Aque_18	Aque_19	Aque_2	Aque_20	Aque_21	Aque_22	Aque_23	Aque_24	Aque_25	Aque_26	Aque_3	Aque_4	Aque_5	Aque_6	Aque_7	Aque_8	Aque_9	Slac_0	Slac_1	Slac_10	Slac_11	Slac_12	Slac_13	Slac_14	Slac_15	Slac_16	Slac_17	Slac_18	Slac_19	Slac_2	Slac_20	Slac_21	Slac_22	Slac_23	Slac_24	Slac_25	Slac_26	Slac_27	Slac_28	Slac_3	Slac_4	Slac_5	Slac_6	Slac_7	Slac_8	Slac_9
Aque_4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0024575163355431756	0.4023962402999156	0.0	0.08922044430383366	0.030889962148670548	0.20624420415755362	0.027820531043354763	0.08035216815348098	2.240870015924232e-05	0.024991332030323412	0.0	0.09580551585712457	0.26981123619757197	0.0	0.0	0.0	0.00250744536584632	0.0006117564568576626	0.0	0.005430698827280456	0.0	0.0	0.08857054138868449	0.1909304619159854	0.23656388427435843	0.2007668848335978	0.014289098418101383	0.15021239641801745	0.101132101605239
Aque_5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7087361568295395	0.0	0.4088917942662606	0.0	0.39387785402164727	0.31244184570075284	0.5199173172162032	0.0	0.02904486305669852	0.0	0.34565618653877517	0.5587388256098295	0.0	0.0	0.0	0.0	0.002925407059471335	0.0	0.0	0.0	0.0	0.0	0.6680739985666178	0.745516108690964	0.36829277508645	0.0	0.0	0.7925249281477316
Aque_6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020827813400628977	0.00030086513824821836	0.551986274894145	0.0012106261006958067	0.11530978186980823	0.0004042762951806698	0.00014068384541715247	0.000296549570226543	0.0016885917480698146	0.37869657656274114	0.0019092562447252169	0.0	0.0	0.5292593078653187	0.0022611563787050637	0.06117348933721324	0.052753745204841704	0.00037215978210327526	0.16716734152972873	0.007002468398900401	0.0015149298174201842	0.1351086687477234	0.005095190824833409	0.0	0.0	0.002211096759569653	0.02265802585941613	0.00044612716161268606	0.0
Aque_7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.659087283693202	0.03225599642874887	0.3011203718522789	0.003329256873303623	0.0011087443814162816	0.04349243668178791	9.72368114265118e-05	0.0	0.913697419766647	0.15246501945828123	0.6411503472373613	0.0001903216368570896	0.0008133843757234463	0.003463324470395238	0.04730955674284691	0.0037879991936777407	0.03665685821302415	0.019571442433673137	0.020396896681917787	0.010116242601684521	0.010540734027575984	0.0005103752764831333	0.1370792494202124	0.03909731112886297	0.00039823229801830707	0.0022445790780955812	0.3500090150960542	0.042430959850145264	0.006743747717354508
Aque_8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001477406586095762	0.11949408203887468	0.0009087379049943685	0.01505251927120039	0.0006820080476047277	0.04013228045341913	0.0011547869098648676	0.00499498227911059	0.0011002034972792956	0.022419899121179164	0.0	0.02008759640427396	0.02422033430427441	0.0	0.0	0.021891753549445878	0.001331027737666831	0.040854691920974726	0.001412603560236808	0.0	0.0	0.00022092845430976205	0.0	0.197252973408863	0.08634604678454477	0.014552724345689222	0.18793990839518343	0.0	0.14949503836345862
Aque_9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4110981911637254	0.0892961200591301	0.2186138140484175	0.0025157261696677033	0.0005111040478522635	0.04796695244184106	0.0	0.0	0.19278849035939144	0.055254779818813195	0.007613733987426105	0.003804095653077314	0.000882183374130378	0.00012202089793177822	0.004056407120177611	0.006157995468946237	0.009242145638250873	0.01011943937941295	0.005372835301547872	0.0041261812579064475	0.0003695228853247377	0.000133781922013199	0.057608022037305875	0.10114272400785966	0.00019832168874216427	0.002397805759299243	0.17500132536425048	0.04374026273480648	0.24065091218214169
Slac_0	0.2760978214016999	0.5303363990624544	0.00035498008564928684	0.6889097852833543	0.044495929863773896	0.0010710681827315323	6.453281315979148e-05	0.001003404766302592	0.001232265531005356	0.0	0.0068162145069574675	0.00045844850756416954	0.35890533543031344	0.0	0.0034315507979526825	0.01819125088039445	0.014093575991532053	0.00082987852529522	0.06544422929390757	0.025790378962379557	0.0023664437214412247	0.0024575163355431756	0.0	0.0020827813400628977	0.659087283693202	0.001477406586095762	0.4110981911637254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slac_1	0.033516785455968985	0.008663266646924028	0.238788736501821	0.008403629605242716	0.057071865956549075	0.4391148008332051	0.01696214012377567	0.018840817779927244	0.024284306830599168	0.01014196595669789	0.0026905454734490277	0.023800011412245244	0.00968005030599987	0.3911256795150635	0.005382345524025981	0.003878270964106453	0.4616068839866462	0.0	0.0199480277578505	0.046678306237858354	0.37869305260820113	0.4023962402999156	0.7087361568295395	0.00030086513824821836	0.03225599642874887	0.11949408203887468	0.0892961200591301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slac_10	0.013498232289242759	0.6698991426271598	0.0001413945567531818	0.08200441290545832	0.02386386572175855	0.0	0.0027613938769139026	0.0015475469294584598	0.012877418799198959	0.0	0.49878366761681897	0.002839542838498321	0.10329169459687508	0.0	0.02421861014621804	0.006665854329716864	0.0	0.00038125996478660803	0.008819188617912475	0.0	0.0	0.0	0.0	0.551986274894145	0.3011203718522789	0.0009087379049943685	0.2186138140484175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slac_11	5.2567753750999835e-05	5.2453808802849e-05	0.02676596678400095	0.0	0.002888361642682251	0.16988407227003063	0.004377468311037562	0.0343613327396839	0.0011448486344494565	0.0007808588536033845	0.3475679225681428	0.01261385670872904	0.0	0.0	0.0004767005609426652	0.015381906324400766	0.002966252234508464	0.0	0.0001727044779465509	0.0	0.21539477025128706	0.08922044430383366	0.4088917942662606	0.0012106261006958067	0.003329256873303623	0.01505251927120039	0.0025157261696677033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slac_12	0.0	0.010625198375212603	0.002192414138961859	0.0	0.0016592193576923033	0.0	0.5115496451326976	0.0	0.0008668998195664297	0.047378611451232865	0.6429339312874155	0.007882132953326971	0.03104110765807693	0.0	0.024539889975445463	0.004170295436053761	0.0007286860504292768	0.004354638323189138	0.00137119156751594	0.0	0.018574222929219453	0.030889962148670548	0.0	0.11530978186980823	0.0011087443814162816	0.0006820080476047277	0.0005111040478522635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slac_13	0.02939694608285519	0.0021586537901109584	0.12881893682168016	0.006078058619846837	0.023154071126007467	0.16449891694493005	0.005101677097478209	0.004392717945476625	0.0014582647590841624	0.002537453714599068	0.0008988305667347806	0.0013741461070368554	0.006777849147351869	0.1225417378996948	0.005146446891694577	0.001413767078226833	0.12938011860569024	0.0	0.0	0.0046167835694184405	0.13242701960076247	0.20624420415755362	0.39387785402164727	0.0004042762951806698	0.04349243668178791	0.04013228045341913	0.04796695244184106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slac_14	0.0	9.4211499025397e-05	0.008868319511105739	0.0	0.0	0.08115585958703213	0.0010219465338498674	0.019157284240578977	0.0	0.0009401078220672952	0.30173928737621536	0.0034145971519657127	0.0	0.0	0.0014224869310669604	0.0	0.0012815967489936595	0.0	0.0	0.0	0.14313870522951921	0.027820531043354763	0.31244184570075284	0.00014068384541715247	9.72368114265118e-05	0.0011547869098648676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slac_15	0.0	0.0	0.0295328633181768	0.0	0.0	0.3559604305878611	0.0002823497927547542	0.04080478624629421	0.4655722443921211	0.00046872346699394746	0.12629642141143663	0.003844840080268106	0.0	0.0029139043657032673	0.0	0.0	0.019050257871298614	0.0	0.0	0.0	0.2712119310906667	0.08035216815348098	0.5199173172162032	0.000296549570226543	0.0	0.00499498227911059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slac_16	0.00018663498149672317	0.006762656598306037	0.0	0.0294989770935715	0.269839513865764	0.0	0.0	0.00033620440124184394	0.001018036379296896	0.0	0.013026584475419605	0.0008068072887765507	0.0023331670491234134	0.0	0.0070657270007926255	0.0010352117040570092	0.0007754501651458348	0.0	0.4287113490247568	0.0	0.0	2.240870015924232e-05	0.0	0.0016885917480698146	0.913697419766647	0.0011002034972792956	0.19278849035939144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slac_17	0.008891437961962144	0.07195002333656259	0.0023320799890018708	0.0028276057664668804	0.11076628953201587	0.0	0.0019955955784375953	0.022412516793182534	0.05361505663231454	0.00012644714551643282	0.2044541003714316	0.019713803009664597	0.20584874459007835	0.0008148785763170017	0.002344337042444887	0.00042597613481005716	0.0009145248130269822	0.021117990139926306	0.0012470516570466223	0.0009671020145107569	0.03336110920716734	0.024991332030323412	0.02904486305669852	0.37869657656274114	0.15246501945828123	0.022419899121179164	0.055254779818813195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slac_18	0.021112397602945965	0.03932429552481018	0.0	0.35544763321265005	0.14698088646638785	0.0	0.0010553533524369284	0.0002294529028552027	0.0015058030570559225	8.095869327476177e-05	0.0035728894451360358	3.5502732276528226e-05	0.20844281642015422	0.0	0.02522426864327726	0.008066884641824446	0.0006956500583225178	0.0013681548171523036	0.017540671769448787	0.007012738698727214	0.0	0.0	0.0	0.0019092562447252169	0.6411503472373613	0.0	0.007613733987426105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slac_19	0.0011233097098290368	0.0	0.0583753905822512	0.0	0.00878944916675804	0.14155899119310483	0.0	0.001096468633797904	0.0	0.0008577060773051731	0.0001851552907779264	0.00020287772756587746	9.50942753015588e-05	0.06209430954190972	0.0	0.0	0.06005928693813321	0.0	0.0	0.0	0.034268543742063236	0.09580551585712457	0.34565618653877517	0.0	0.0001903216368570896	0.02008759640427396	0.003804095653077314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
